State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Los Angeles,Mid City,274514,-118.34152010526608,34.04920432521595
CA,Los Angeles,Glendale,Montecito Park,274580,-118.22430934238886,34.19691916949076
CA,Los Angeles,Glendale,Moorpark,274587,-118.26606328600494,34.144699135562895
CA,Los Angeles,Glendale,Grandview,273868,-118.28859087986051,34.1721388540011
CA,Los Angeles,Los Angeles,Central City,273197,-118.25924666663914,34.01877516069965
CA,Los Angeles,Los Angeles,Playa Del Rey,276514,-118.43663309356064,33.96044950377338
CA,Los Angeles,Pasadena,North East,274705,-118.07431131501674,34.16137753581798
CA,Los Angeles,Glendale,Oakmont,274857,-118.24071232373608,34.19962731046914
CA,Los Angeles,Pasadena,Mid Central,274513,-118.10995482962056,34.15208566972901
CA,Los Angeles,Long Beach,City College Area,273263,-118.12704292346668,33.819567841761675
CA,Los Angeles,Glendale,College HIlls,273313,-118.22943996167673,34.163471475229294
CA,Los Angeles,Pasadena,North Central,274695,-118.14701694587599,34.16990109469284
CA,Los Angeles,Glendale,Rancho San Rafael,275130,-118.21669435027296,34.16657430265739
CA,Los Angeles,Glendale,Riverside Rancho,275207,-118.29933551970004,34.161661740081364
CA,Los Angeles,Glendale,Rossmoyne,275257,-118.24655712647575,34.16362443238147
CA,Los Angeles,Glendale,Pacific Edison,274940,-118.26144909836914,34.13826377321626
CA,Los Angeles,Long Beach,El Dorado Park,273615,-118.0892038113693,33.811733194646955
CA,Los Angeles,Glendale,Emerald Isle,273633,-118.20537368620312,34.18146977831978
CA,Los Angeles,Los Angeles,Pico-Robertson,275024,-118.38258271021742,34.05209798557643
CA,Los Angeles,Glendale,Scholl Canyon,275316,-118.19151203334063,34.157918371551574
CA,Los Angeles,Pasadena,South,275405,-118.13686858138101,34.13392850288315
NA,NA,NA,NA,NA,-118.29475137500508,33.866249314986334
CA,Los Angeles,Los Angeles,Hollywood Hills,274049,-118.34346904872405,34.120922037473505
CA,Los Angeles,Glendale,Verdugo Woodlands,275857,-118.22765834377016,34.1807473208383
CA,Los Angeles,Glendale,Vineyard,275884,-118.26571949563403,34.15133992811238
CA,Los Angeles,Los Angeles,Mid Wilshire,274517,-118.3281281513296,34.07213823244209
CA,Los Angeles,Glendale,Montrose Verdugo City,274582,-118.23826869046206,34.21135058768181
CA,Los Angeles,Long Beach,State College Area,275567,-118.10931416285386,33.78316368661025
CA,Los Angeles,Pasadena,North Arroyo,274684,-118.17484138976455,34.18012607347529
CA,Los Angeles,Torrance,Northwest Torrance,274750,-118.33945754356536,33.86835633101075
CA,Los Angeles,Glendale,Verdugo Viejo,275856,-118.26059966056472,34.16540583236853
CA,Los Angeles,Los Angeles,Arlington Heights,403193,-118.31691494810569,34.04352667593954
CA,Los Angeles,Los Angeles,South Carthay,403194,-118.37064535684587,34.05577308812069
CA,Los Angeles,Los Angeles,Crestview,403195,-118.38080329899584,34.03983488895739
CA,Los Angeles,Pasadena,West Central,275958,-118.13857927180626,34.15184785212254
CA,Los Angeles,Long Beach,Wrigley,276157,-118.19778755093907,33.8062460245546
CA,Los Angeles,Glendale,Citrus Grove,276258,-118.23874882222404,34.1474696027566
CA,Los Angeles,Long Beach,Dominguez,276299,-118.20987539494112,33.832074553745684
CA,Los Angeles,Long Beach,North Long Beach,276476,-118.18052385759972,33.865366964714255
CA,Los Angeles,Long Beach,Poly High District,275067,-118.18129180535198,33.79434768774367
CA,Los Angeles,Los Angeles,Mid City West,276450,-118.36277570468391,34.075239966808745
CA,Los Angeles,Glendale,San Gabriel Mountains,275287,-118.24804849838357,34.25791810885488
CA,Los Angeles,Long Beach,Willmore City,416312,-118.19720799240102,33.779035960469365
CA,Los Angeles,Long Beach,Washington School,416313,-118.19751026621448,33.786258320960584
CA,Los Angeles,Long Beach,Saint Mary's,416314,-118.18387690066413,33.7808181846345
CA,Los Angeles,Glendale,Verdugo Mountains,275855,-118.26419612912277,34.19954654284071
CA,Los Angeles,Long Beach,West Side,275989,-118.21475958699897,33.80396347896874
CA,Los Angeles,Los Angeles,Westlake,276023,-118.2706008220003,34.063510677898385
CA,Los Angeles,Long Beach,Wilmington,276088,-118.20794083804597,33.758182478137066
CA,Los Angeles,Glendale,Woodbury,276121,-118.23166559208146,34.154839172737304
CA,Los Angeles,Long Beach,Zaferia,416315,-118.15900364517019,33.78627717748181
CA,Los Angeles,Torrance,Hillside,416329,-118.33392612685762,33.7863160252625
CA,Los Angeles,Torrance,Southwood Riviera,416330,-118.35717881061926,33.815510310487575
CA,Los Angeles,Torrance,Southwood,416331,-118.36309323453676,33.83205024325939
CA,Los Angeles,Torrance,Pacific Colony,416332,-118.37367312239456,33.8395061477912
CA,Los Angeles,Torrance,South Bayport,416346,-118.3323876494556,33.826117105716094
CA,Los Angeles,Torrance,La Terraza,416347,-118.33380514476583,33.82403503412657
CA,Los Angeles,Torrance,Verdi Estates,416348,-118.3296188290955,33.825951540978956
CA,Los Angeles,Torrance,Tradewinds Complex,416349,-118.33038828348965,33.823559055128435
CA,Los Angeles,Los Angeles,Del Rey,403184,-118.42241363666544,33.9882602455582
CA,Los Angeles,Los Angeles,Elysian Valley,403191,-118.2399687276281,34.09576897635421
CA,Los Angeles,Los Angeles,Cheviot Hills,403142,-118.41347704827066,34.040382853954156
CA,Los Angeles,Glendale,Chevy Chase,276256,-118.20563905945359,34.16801578751298
CA,Los Angeles,Los Angeles,Chinatown,276257,-118.2410481332167,34.061760811907924
CA,Los Angeles,Los Angeles,Beverlywood,403183,-118.39419436004121,34.039259497732246
CA,Los Angeles,Los Angeles,University Hills,403190,-118.1706259882151,34.06748208247863
CA,Los Angeles,Los Angeles,Harvard Heights,403192,-118.29594438094848,34.04610505846313
CA,Los Angeles,Torrance,Palo del Amo,416964,-118.33818415073429,33.81909843827482
CA,Los Angeles,Torrance,New Horizons South Bay,416965,-118.3425745759181,33.8202794364705
CA,Los Angeles,Long Beach,The Plaza,276606,-118.10598637988878,33.81450668215457
CA,Los Angeles,Torrance,Country Hills,416966,-118.34323873914994,33.79207039879926
CA,Los Angeles,Torrance,Seaside,416967,-118.36754112912479,33.82098096477171
CA,Los Angeles,Long Beach,Freeman Island,416300,-118.16246263836571,33.74147668187111
CA,Los Angeles,Long Beach,Marina Area,343505,-118.10814620225594,33.76226259507412
CA,Los Angeles,Long Beach,Alamitos Beach,416302,-118.1743323449236,33.766934005126934
CA,Los Angeles,Long Beach,Hellman,416309,-118.17365390508353,33.77689731254518
CA,Los Angeles,Long Beach,Sunrise,416311,-118.18401618760439,33.803159852844594
CA,Los Angeles,Long Beach,Belmont Park,416316,-118.12777074394323,33.763663717995335
CA,Los Angeles,Long Beach,Bixby Hill,416318,-118.10729472289552,33.777989175803675
CA,Los Angeles,Long Beach,Rancho Estates,416320,-118.09502726455037,33.81451827068855
CA,Los Angeles,Torrance,Northeast Torrance,416334,-118.31840181655916,33.87079365800441
CA,Los Angeles,Long Beach,Island Chaffee,416301,-118.13914543573105,33.73987844348902
CA,Los Angeles,Long Beach,Bluff Park,416303,-118.15953856791488,33.76272431468991
CA,Los Angeles,Torrance,Delthome,416336,-118.3475557706524,33.84339798915866
CA,Los Angeles,Torrance,Springwood,416341,-118.33877719789736,33.828187283358105
CA,Los Angeles,Torrance,Torrance Windemere,416343,-118.33077878105577,33.82825566310562
CA,Los Angeles,Long Beach,El Dorado South,416308,-118.09469849164131,33.79217790774048
CA,Los Angeles,Long Beach,Rose Park,416310,-118.16002991854076,33.77533456017717
CA,Los Angeles,Long Beach,University Park Estates,416317,-118.11182741455767,33.771767719786574
CA,Los Angeles,Long Beach,Imperial Estates,416319,-118.06802949037477,33.82045860374462
CA,Los Angeles,Torrance,Pacific South Bay,416333,-118.37593077176518,33.851565668039925
CA,Los Angeles,Torrance,Pueblo,416335,-118.32365191441444,33.846824262073554
CA,Los Angeles,Claremont,Manor,411726,-117.72579864027287,34.0975313974081
CA,Los Angeles,Long Beach,Bluff Heights,416304,-118.15746241156583,33.76828573779447
CA,Los Angeles,Long Beach,Carroll Park,416305,-118.16330978840865,33.769795081266025
CA,Los Angeles,Los Angeles,Hermon,417433,-118.1838441867235,34.105202913702946
CA,Los Angeles,Long Beach,East Village,416306,-118.1850157115156,33.773229742967416
CA,Los Angeles,Long Beach,El Dorado Park Estates,416307,-118.07742336130342,33.817043267059695
CA,Los Angeles,Long Beach,Island Grissom,416321,-118.18139552472097,33.75926835752029
CA,Los Angeles,Torrance,Torrance Heights Civic,416337,-118.34788093400823,33.82168627118651
CA,Los Angeles,Torrance,Madrona,416338,-118.33602898854649,33.834290205298565
CA,Los Angeles,Torrance,Summerwind,416345,-118.3360195314934,33.82538540755526
CA,Los Angeles,Torrance,Southwood Sunray,416350,-118.33198860352425,33.82002574337566
CA,Los Angeles,Long Beach,Island White,416861,-118.15962437259924,33.75272078273994
CA,Los Angeles,Torrance,Marble Estates,416963,-118.33183513702272,33.81561949644498
CA,Los Angeles,Torrance,Merit-Carson,416339,-118.34250321275871,33.830255739401515
